INFO 2024-10-19 18:51:41,508 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-19 18:51:41,510 autoreload Waiting for apps ready_event.
DEBUG 2024-10-19 18:51:41,541 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-19 18:51:41,578 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\templates with glob **/*.
DEBUG 2024-10-19 18:51:41,579 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,579 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\BtoA\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,580 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\BtoG\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,584 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\CtoF\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,585 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\DtoA\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,585 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\DtoF\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,585 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\FtoA\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,586 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\FtoB\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,587 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\FtoG\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,587 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\FtoH\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,588 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\ItoC\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,588 autoreload Watching dir C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\ItoD\locale with glob **/*.mo.
DEBUG 2024-10-19 18:51:41,708 utils (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-19 18:51:41,715 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-10-19 18:51:42,001 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1729262999.2489703
DEBUG 2024-10-19 18:51:42,002 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1729262998.2373953
DEBUG 2024-10-19 18:51:42,002 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\email\base64mime.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,003 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\_weakrefset.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,004 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1729262999.4281087
DEBUG 2024-10-19 18:51:42,004 autoreload File C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\BtoA\admin.py first seen with mtime 1729259344.0668514
DEBUG 2024-10-19 18:51:42,005 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\debug.py first seen with mtime 1729262999.5224295
DEBUG 2024-10-19 18:51:42,006 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\csrf.py first seen with mtime 1729262999.5204139
DEBUG 2024-10-19 18:51:42,007 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1729262998.249096
DEBUG 2024-10-19 18:51:42,007 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\getpass.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,008 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\files\move.py first seen with mtime 1729262999.0150857
DEBUG 2024-10-19 18:51:42,009 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\email\errors.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,009 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1729262992.8625803
DEBUG 2024-10-19 18:51:42,010 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\keyword.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,011 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\selectors.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,012 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\mail\message.py first seen with mtime 1729262999.0451598
DEBUG 2024-10-19 18:51:42,012 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\template\engine.py first seen with mtime 1729262999.3980923
DEBUG 2024-10-19 18:51:42,013 autoreload File C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\FtoB\admin.py first seen with mtime 1729329121.1560063
DEBUG 2024-10-19 18:51:42,014 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1729262994.8578033
DEBUG 2024-10-19 18:51:42,014 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\fnmatch.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,015 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\wsgiref\headers.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,015 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\email\headerregistry.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,016 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1729262999.098111
DEBUG 2024-10-19 18:51:42,016 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\options.py first seen with mtime 1729262999.2319653
DEBUG 2024-10-19 18:51:42,017 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1729262999.4769902
DEBUG 2024-10-19 18:51:42,018 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\views\__init__.py first seen with mtime 1729262999.5204139
DEBUG 2024-10-19 18:51:42,018 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\ssl.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,019 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\encodings\aliases.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,020 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\DLLs\_decimal.pyd first seen with mtime 1728264446.0
DEBUG 2024-10-19 18:51:42,021 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1729262995.2472272
DEBUG 2024-10-19 18:51:42,022 autoreload File C:\Users\goodn\Desktop\python_class\GitHub\GraphSurvey\Survey\CtoF\urls.py first seen with mtime 1729330711.0704424
DEBUG 2024-10-19 18:51:42,022 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1729262995.243202
DEBUG 2024-10-19 18:51:42,023 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1729262999.2576914
DEBUG 2024-10-19 18:51:42,024 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\asyncio\coroutines.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,025 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1729262999.1987164
DEBUG 2024-10-19 18:51:42,026 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1729262999.1026142
DEBUG 2024-10-19 18:51:42,026 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\DLLs\select.pyd first seen with mtime 1728264446.0
DEBUG 2024-10-19 18:51:42,027 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\lzma.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,027 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\_markupbase.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,028 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\template\loader.py first seen with mtime 1729262999.4025936
DEBUG 2024-10-19 18:51:42,028 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\migrations\executor.py first seen with mtime 1729262999.194732
DEBUG 2024-10-19 18:51:42,029 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1729262997.5481093
DEBUG 2024-10-19 18:51:42,030 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1729262999.0431623
DEBUG 2024-10-19 18:51:42,031 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\email\_parseaddr.py first seen with mtime 1728264408.0
DEBUG 2024-10-19 18:51:42,031 autoreload File C:\Users\goodn\AppData\Local\Programs\Python\Python313\Lib\email\contentmanager.py first seen with mtime 1728264408.0
